,toxic,not_toxic
20446,Why don't you fuckin' go back to Rwanda?,why don't you go back to Rwanda?
20447,"On my side, shit.",on my side.
20448,"What, you fucking came at me?!",you came after me?
20449,"dude, enjoy your virginity day.","Dude, happy virginity day."
20450,Had these bastards tapped Mattie's phone?,the bad guys would have recorded the phone at Mattie's?
20451,"an idiot, but a good boy.","Dim-witted, but a good kid."
20452,Burn down.,they don't burn.
20453,did Ben have sex with anyone in the summer?,Did Bentell you he had sex this summer?
20454,"these scouts work, they're suicides.","These scouting runs, they're suicide."
20455,Take the shot. Any shot you can get.,"take chances, every chance you get."
20456,This place is a dump.,this place is a cesspool.
20457,"God, what a dump.","oh, my God."
20458,"Too late, Jews always want something for nothing.","you're late, Jews always want something for free."
20459,"'damn bad, sir.","""Bloody awful, sir."
20460,"There's not a year goes by that I don't read about an escalator accident... involving some bastard kid that could've been easily avoided... had some parent... I don't care which one, but some parent, conditioned him... to fear and respect that escalator!","it doesn't come a year to not read about a child's injury in an escalator that could easily have been prevented if one of his parents, no matter who, learned... the escalator to respect and fear him!"
20461,Tiger fucking Woods.,how Tiger Woods after the launch.
20462,And we wouldn't want that. - Damn it. LANA:,and we wouldn't want that.
20463,"the professor looked at him in search of him, his eyes on his head and wet trousers, and he reasoned: A fool.","Here the professor looked at his patient, at his head, at his damp trousers, and thought:"
20464,"it was a deep, low groan, like a distant crowd of damned spirits, coming from the direction I was just looking.","It was a deep, low moaning, as of a distant throng of condemned spirits, and came from the direction in which I was staring."
20465,"look, this guy tried to kill me.","Look, a man tried to kill me."
20466,what the fuck is this?,What is this on?
20467,"She's an outstanding officer who needs to get a deck back under her feet again, and BuMed is full of crap if they think she can't handle it.","she's an excellent officer who needs to have a deck under her feet, and if the healers think she can't handle it, she's a bunch of jocks. """
20468,"Thirty goddamned minutes,"" Cantor said.","about thirty minutes, ""Cantor said."
20469,My dirty child has come home.,my dirty house came home.
20470,I hate being fun with girls.,"I hate having ""fun"" with the girls."
20471,"'I said I don't want you!' he snapped, and gave it a kick.","'i told you that I don't want you! 'He snapped, kicking the Luggage in the side."
20472,"I love my sister, I'll just blackmail her so we don't have to sleep in that stinking hole.","I'm just gonna blackmail her, so we don't have to sleep in the fish pit."
20473,he's gonna keep his mouth shut.,I'll keep my mouth shut.
20474,You fucking killed her!,you killed her!
20475,Your brothers will walk away with broken legs.,your brothers will escape with broken legs.
20476,That's a fucking man.,that's a hell of a guy.
20477,That son of a...,son of a...
20478,that's the most irritating part of a woman.,That is the hottest part of a woman.
20479,she said we should shoot him down.,"Well, she said you said to shoot it down!"
20480,"They've already tried to kill me twice tonight, and they're gonna try again the very first chance they get.","the people who would never have done it, they've tried to kill me twice today, and they will try again when they get the chance."
20481,"fuck off, Ward, he's a tough guy.","Forget the soap, Ward, he's tough."
20482,3.20 a pint. Fuck off.,3.20 for a pint.
20483,"I'm sorry, man, but I ain't gettin' in no goddamn trunk.","I'm sorry, man. I'm not getting in a trunk."
20484,My motherfucking ball.,I have the ball.
20485,"'Gosh, Paw, looks like a damn turkey-shoot!' Mark McCain cries, and then utters a shrill laugh.","""wow, Paw, it looks like a turkey hunt!"" Says Mark McCain, then laughs."
20486,"When I was your age, I flipped burgers all summer just to buy an eight-track. -That sucks.","at your age, I worked at McDonald's all summer to make an eight-ounce cassette."
20487,"If you're alive, some terrible shit's gonna happen to you and maybe some good things too, but you can always count on the terrible.","if you're alive, he's sure to be terrible things, and maybe a good one, but you can always rely on those awful."
20488,"A killer, that's all I am.","he was right, I was- killer, I am."
20489,The day Monkford should die...,the day of Monkford's death...
20490,"news and World Reporter as one of the greatest minds in America, I'm amazed at how ignorant you are sometimes.","News & World Report... ...as ""one of the greatest minds inAmerica"" I'm amazed how clueless you are."
20491,"but no, something stinks in here, and it's not just your feet and your armpits.","Oh, no, something smells rotten in here, and it's not just your feet and pits."
20492,What the hell are you doing?,what were you doing?
20493,Let me out! - Let me the fuck outta here!,get me the hell out of here.
20494,"your bloodline is rotten, so you said it.","Your bloodline's tainted, so you say."
20495,you want to dump me for an old man on a hospital bed?,"Oh, you're blowing me off for some old guy in a hospital bed?"
20496,"Real life starts the first time you fuck, kid.","boy, real life starts up first."
20497,moles don't go to a barbershop every fucking weekend.,Moles don't get their hair done every week.
20498,Fucking Awesome.,"oh, perfect!"
20499,you're a monster because you shut your heart.,You're mean because you closed down your heart.
20500,You think... Robbing the head of the pink panthers will get me in?,do you think they'll take me through the fringe of Pink Panthers?
20501,"oh, shit.","Oh, my God."
20502,"""That elevator's a bitch to keep runnin,"" Watson said, jerking his thumb at it.","""the elevator is a thing for servicing,"" Watson said, pointing at him with his thumb."
20503,"Well, you know, every cute guy has a... a dorky friend who needs to be cleared out.",any pretty boy has a tough friend to be entertained.
20504,We'll stick her in the basement.,we'il put her in the basement.
20505,Where the hell did we get this guy?,where did we get this guy?
20506,"I love you and I hate you, which shows how much I love you.",Which brings to mind how much I love you
20507,"""I'm not out there fucking, you know, putting coke up my nose,.""","""I don't go around screaming, spruce up coke,"""
20508,"go see your father and all you can do is watch him die, there's nothing you can do about it.",Visiting your uncle and watching him die. Nothing you can do about it.
20509,"oh, shit. Okay.","All right, yeah."
20510,Wolff methodically set about to kill all those in the neighborhood of the maindeck.,Wolff went into a systematic killing of all the Nichiddores who had weighed in on the main deck.
20511,"and ruin your whole life, Charlie.","And just floating through your entire existence, Charlie."
20512,Your father has corrupted you.,your father was a bad influence.
20513,"""then stay away from me, monk.","'Then keep away from me, priest."
20514,"""Well, he thinks I'm a lunatic, it's true, but he doesn't have a problem with you.","""well, he thinks I'm crazy, that's right, but he doesn't have a problem with you."
20515,"Hey, Stirling fucking Moss!","OI, oink ostrich!"
20516,Then get your ass in the car and get back to Harlan as fast as you can.,so get in the car and go back to Harlan as fast as you can.
20517,They're pussies!,they're minions!
20518,You're going to your chicken shit college and me going to Yale.,"you're going to your school, and I'm going to Yale?"
20519,"when the relationship becomes only a record of profits and losses, you no longer have any friends, no loved ones, just plumes and balls.","When relationships become a ledger of profit and loss, you have no friends, no loved ones, just pluses and minuses."
20520,"all right, all right, don't fuck with me!","Okay, don't blow my mind!"
20521,"It's a bit of a shithole, mate, innit?","a bit of a hole, mate, isn't it?"
20522,"""You're right, dammit.","""you're right."
20523,That was funny shit.,really funny.
20524,Some baseball bat bullshit.,with a baseball bat.
20525,"someone in the 1930s was a fool to parabol and Albert Speer was then in charge of a new German architecture, later becoming a minister of arms production, and from that title as well as the main customer of the A4 rockets.","Somebody during the thirties was big on parabolas anyhow, and Albert Speer was in charge of the New German Architecture then, and later he went on to become Minister of Munitions, and nominal chief customer for the A4."
20526,He's a private eyesore.,he's a private eye.
20527,"Fucking flopping like a fish on the dock, my brother the perch.","he was thrashing like a fish on a pier, my brother."
20528,"we've all done for that little guy, you know, that we wrapped him up in my completely new cashmere microbes, which is so soft, that he puts my nipples to sleep.","We have done all we can for the little guy, you know, including wrapping him in my brand new cashmere hoodie that is so soft it makes my nipples sleepy."
20529,"Dude, why do I keep smelling that garbage?",why do I still smell the garbage?
20530,no shit!,No kidding!
20531,"but for now, just... stay in bed 'cause the sex storm is coming up.","OK? But for now you just... you just stay in that bed, alright? Because a storm of sexy is gonna..."
20532,"when the belt comes back, I'll destroy it.","When they give us the tape back, I'll destroy it."
20533,I suggest we start thinking about some way to infect their ships and destroy them in a microsk...,I suggest we begin thinking about a large- scale delivery system-- a way to infect their ships and destroy them at the microsc...
20534,"""A monster,"" Copper snapped sharply.","""a monster,"" Copper barked sharply."
20535,"Oh, this dress is too slutty.",the dress is too challenging.
20536,and you would be charged with murder and you would be sent to death.,"and you were convicted of murder, and you're sent to death row."
20537,Phid will have your head in a noose.,Phida will bring a noose for it.
20538,press him and destroy the bunker and everything.,Press it and you will destroy this bunker and everything in it.
20539,"Hey, hey, dude, dude, he hates you.","hey, hey, buddy, he hates you for that."
20540,50 Euros for all your shit.,Fifty euros for all your stuff.
20541,what the fuck do you think I'm doing here?,Why do you think I'm layin here?
20542,"Off, Tommy, or I'll stick your head in that oven and I'll talk to you through the gas burner.",or I'll put my head in the oven and I'll show you when the gas is on fire.
20543,"if I get the neighbour's mail, I'll just throw her... in his mailbox.","When I get a neighbor's mail, I just toss it in the... Neighbor's mailbox."
20544,"I mean, he's... he's completely incompetent.",I don't think he's completely incompetent.
20545,what the hell does he need so much ice for?,What is she doing with all that ice?
20546,"Suppose there's a guy and he's standing on the shore of a river... ...and river's full of piranhas,alligators, eddies, shit like that.","imagine a man stands on the riverbank... and the river is filled with crocodiles, drinkers, swirls, and like dirt."
20547,he's making a fool of us!,He's driving us crazy!
20548,he only means white people.,They mean white people only.
20549,"""Today is a good day to die. "" So was it, Dave?","""it's a good day to die."" Was it the right day, Dave?"
20550,I knew I was a fool of hope.,I knew I was crazy to hope.
20551,a fucking popular car.,This car is very popular.
20552,"Oh, that's fucking great.",that's really cool.
20553,You'd need a fucking bib.,you need a bib.
20554,"It's not you I hate, Cardassian.",I don't hate Cardassians.
20555,He just doesn't want to hurt the lunatic.,he just doesn't want to hurt the nut.
20556,"And if we let that happen, she dies in vain.","and if we would allow it to happen, she died needlessly."
20557,this is enough for you to be a puppet.,All it takes to turn you into a puppet is one of these.
20558,"Hell, lynette, you--you are the strongest person I know.","hell, Lynette, you're the strongest man I know."
20559,"He's a dead 'un, sir.","he's dead, sir."
20560,"I know what that's like, and it sucks.",I know what it's like and it's terrible.
20561,"You know ... ... When we learned to know each other, Was my only future damned Jewellery over my parents ... ...",you know...... when you met me...... my best prospect was to take gold from my parents...... in a one-off mall in Westchester.
20562,You piss me off!,you hit me!
20563,"if he doesn't come soon, I'm gonna die!",If he does not come soon I will die of longing!
20564,"Thou, wretched boy, that didst consort him here, shalt with him hence.","oh, you poor kid, who you held with him, you're going with him too."
20565,Damned if I know what it is.,if only I knew what.
20566,"There were hundreds of images, all... all of this surveillance footage, being captured by the damn jackets.","there were hundreds of images, all of the security cameras mounted on uniforms."
20567,two fucking keys I won't find on my fucking keyboard.,Two keys I can never fricking find on a fricking keyboard.
20568,"""then let's get rid of them.""","""So let's get rid of them."
20569,You are insane! You knew that P.E.T.A. guy was there.,you knew those animal protectors were there.
20570,"Mr. Keith, did you ever hear the expression ""old pussy""?","Mr Keith, have you ever heard the expression ""Old Yellowstain""?"
20571,there's a hospital for mentally ill criminals in the Hudson.,Inmate at a hospital for the criminally insane up in Hudson.
20572,when will all the damn ice melt?,When is all this goddam ice supposed to melt?
20573,"because you all know, by name, Santana, he'll end up dead.","Because everyone you know by name, Santana, winds up dead."
20574,from the pig.,It's made from pork.
20575,"Someone give him a sword, or I'll...",someone give him a sword or...
20576,A vicious killer.,there's a killer.
20577,He must have had a fucked-up childhood.,he must have had a terrible childhood.
20578,Don't get all pissy at me because you screwed up and cut off his bracelet.,don't take it out on me just because you screwed up and tore off his bracelet.
20579,we kick and die and... he's out there flying and flying.,We're in here digging and dying... he's out there living and flying.
20580,"he threw a coin on the table, got up, put on his belt, put a dark hat with his dick on his head and headed for the door.","He tossed a coin onto the table, stood, buckled on his sword belt, picked up a dark, feathered hat and headed for the door."
20581,he killed the enemy.,He terminated the enemy.
20582,what the fuck do you mean?,What are you talking about?
20583,"Marsilius raves of an impossible transformation, immediately; but Louis is no better than his predecessors, even if for the present he remains the only bulwark against a wretch like John.","Marsilius is delirious about transforming a world that may not be possible for the moment, and Louis is no better than his predecessors, although it is yet a single grudge against a white man such as John."
20584,"He wasan ornery drunk, basically.","basically, he was a drinker."
20585,the dress you chose is disgusting.,The dress you picked out is totally hideous.
20586,then I hope you enjoy the pain.,Then I hope pain is something you enjoy.
20587,"you should have hit Jared, Leah thought.","You could have hit Jared, Leah thought."
20588,"Perseus, you die.","Perseus, who would have died."
20589,"How much money you think his motherfucking teeth worth? $100,000? $200,000?","how much did you think his teeth were? A hundred grand, two hundred grand?"
20590,detritus quickly raised his head.,Detritus looked up quickly.
20591,Are you sure you have room for the two idiosos that burnt down their house?,do you really have a room for two dummies that burned your own house?
20592,"Apparently, I said so much nice shit about him in the board meeting,","obviously I've said a lot of nice things about him at the meeting,"
20593,"you have a big mouth, but a little head.","You've got a big mouth on a small head, sunshine."
20594,there are times if you don't belong... and he will want to kill himself.,There are times you don't belong and you think you're going to kill yourself.
20595,I know who the fuck that is.,I know who he is.
20596,"I'll beg, humiliate myself, blackmail you if you have to.","I'll beg, grovel, blackmail if I have to."
20597,"Then Beaver was screaming at him from his awkward sprawl in the toilet, telling him to get out, to shut the door, and the thing turned back to the sound of his voice as if recalled to temporarily forgotten business, and it was Beaver's eyes it went for this time, his fucking eyes, Beaver writhing and screaming and trying to hold on as the thing chattered and chattered and bit, its tail or whatever it was flexing and tightening around Beaver's waist, pulling Beaver's shirt out of his overalls and then slithering inside against his bare skin, Beaver's feet jerking on the tiles, the heels of his boots spraying bloody water in thin sheets, his shadow flailing on the wall, and that mossy stuff was everywhere now, it grew so fucking fast— Jonesy saw Beaver thrash backward in a final throe; saw the thing let go its grip and leap clear just as the Beav rolled off the toilet, his upper half falling into the tub on top of McCarthy, old Mr Behold-I-Stand-at-the-Door-and-Knock.","then, from his awkward posse in a toilet bowl, Beaver called out to get out, to close the door, and the thing turned up to the sound of his voice, which seemed to remind her that there was still unfinished business, to which she had temporarily forgotten, and this time she attacked him, and Beaver just writhed, and tried to disengage with her, or what she did, the tail, and then the tail slid down the bare skin, and then the tail slid down the bare skin, and then the tail slid down the bare skin, and then the tail fell on the floor, and then the tail fell on the floor, and then the tail was on the wall, and its shadow, its shadow, and the strange moss grew almost everywhere, and the strange moss grew on the wall, its shadow, and its shadow, its shadow, its shadow, its shadow, its shadow, its shadow, its shadow, its shadow, its shadow, its shadow, and"
20598,hurry up and alert your parents to keep us all slaughtered.,Hurry to warn parents that does not kill us!
20599,"You're a fascist pig, and what Otto did to you is just the tip of the iceberg.",and what Otto did to you is just the tip of the iceberg.
20600,"they fucked a hornets' nest, sir.","Stirred up a hornet's nest, they did, sir."
20601,did you leave a bullet in his head and his head in a pool of blood?,"You didn't leave him with a bullet in his head and his head in a puddle of blood? Sir, sir."
20602,Get the hell out of there.,get out of here.
20603,"Go on, fuck off!","go, get out!"
20604,Big Brother has announced we'll attack the foreigners,big brother announced we'd be attacking foreigners
20605,"the next time I see your name on the list of representatives of minorities, I'm going to die.","The next con I attend, and they ask me to be on the minority panel, if I see your name anywhere near that list, I'm passing!"
20606,You stole my goddamn money!,you stole my money!
20607,"If a bitch becomes pregnant following induced heat, embryonic resorption or abortion may occur.","if fena is cut after inducted, an embryonic resorption or abort may occur."
20608,"You wanted me dead, Paul.","you fought for my death, Paul."
20609,"Don't shot, you'il piss him off.",don't shoot. You're gonna piss him off.
20610,"And we still haven't had sex. "" Special treats"" is code for sex.","and we haven't had sex. ""Surprise"" means sex."
20611,"I'm not stupid, and I am definitely not the attention whore at this table.","I'm not stupid, and I'm definitely not the one who's trying to get attention at this table."
20612,"Where's that old mongrel dog of yours, Mrs. Bowden?","where's your old nut, Mrs. Bowden?"
20613,"A scrungie is used to clean out jugs, pans and stupid pots - like me!","it cleans pots and pans, and rents like me."
20614,You are very annoying?,aren't you a little annoying?
20615,"""Bernard Black, he's crazy.","""Bernard Black, he's mad!"""
20616,this is ridiculous.,'This is ridiculous.
20617,"And what the fuck does ""deracinated"" mean?","what the hell does ""uproariously"" mean?"
20618,Let's blast him. - Whoa!,take off the-- - Whoa!
20619,"Hauser, you've lost your mind.",you lost your mind.
20620,"What can I do for you, Ms. black?","what can I do for you, Miss Black?"
20621,Captain don't wanna hear that Zimbabwe ah-wah-wah shit.,the Captain won't listen to any bauaud.
20622,"""I'm listening to Jean-Claude, not his whore.""","""I obey Jean-Claude, not his strumpet."""
20623,"I eat to fuck, and I blink to poison.","""I eat to swive and swive to eat again."
20624,"and I think I can easily defeat you in any physical confrontation, starting with crushing heads, flushing your head in the toilet or the classic ""Why do you beat yourself up?""","And I believe I could easily best you in any physical confrontation-- be it noogies, swirlies or the classic ""Why are you hitting yourself?"""
20625,"that's very dirty, Jean.","(Laughs) That's very naughty, Jean."
20626,"Yeah, his weird-ass brother, too. Yeah.","yeah, and his weird brother too."
20627,I got shit all over my pants now!,I'm wearing my pants now!
20628,"He doesn't give a damn about you, about your family.",you and your family don't care.
20629,"and how the hell do I sleep on her now, Leanne?","Well, how the hell am I gonna sleep in that thing, Leanne?"
20630,"""Maybe he thinks you suck,"" Eric said.","""I guess they think you're lame,"" said Eric."
20631,Latin Americans are new exotics.,Latinos are the new exotic.
20632,"if we stay here, we die tonight, so pack up.","If we stay here, we will die tonight, so pack your things."
20633,"isn't it sick to open someone's chest and cut his heart out, or do a bypass on it?","Isn't it ghoulish to rip a person's chest open and take out a heart, or a bypass opation?"
20634,that bastard sold everything that was worth something.,He sold anything that was worth a damn.
20635,she doesn't mind that her new boyfriend is a junkie?,Does she think it's fine her new boy's a drug addict?.
20636,you mean the fat guy spilled something?,"Fat guy hoarding the food, you think?"
20637,and then they'll be trampled on until he can paint the wall with them.,And then trampled upon until you can paint the walls with him .
20638,"That's why the people who buy 'em are, like, state and federal agencies and shit.",that's why they buy them people as they are - state and federal authorities and so on.
20639,Get on the goddamn door!,help me with the door!
20640,Should I pretend everything's fine just like you? - Shut up!,"should I, like you, pretend everything's okay?"
20641,"first of all, it's bullshit.","First of all, they're blabbermouths."
20642,"honey, what do you think of my butt on a scale from one to delicious?","Babe, what do you think of my tushie on a scale from 1 to mouthwatering?"
20643,You look like a baby burp.,you look like a kid getting fed.
20644,"this is adrenaline, we'll have to inject him directly into the heart.",This is adrenaline-- we're gonna have to inject it into his heart. - We are? - You are.
20645,as your wife committed suicide by jumping off the balcony.,About how your wife killed herself by jumping off the balcony.
20646,I don't think you understand. This dude is fuckin` bad.,you don't understand. He's dangerous.
20647,Why the hell do you have all these cops and their accounts in here?,why do you have these cops and their bills?
20648,bitch?!,Ho?!
20649,"Oh, you mean the racist whites?",you mean white supremacists?
20650,and Fedayeen Saddam is a country bully who is unfamiliar with Baghdad's urban environment.,"As for the Fedayeen Saddam, they are village ruffians unfamiliar with Baghdad's urban landscape."
20651,"The man was short, beefy, grey hair cut in a butch.","the man was low, muscular, gray hair cut short."
20652,Billy Crash has a gun to her head.,Billy Crash here ha' got his pistol upside her hair!
20653,"Damn it, I told you to be careful.","hell, I told you to be careful."
20654,This isn't some garbage from a history book. My grandfather told me this story himself.,"this isn't some gibberish from a history book, my grandfather told me this story in person, and I saw the truth in his eyes."
20655,"keep your mouth shut, Jake.","Keep him talking, Jake."
20656,I'm not letting him out so he can kill again.,I'm not setting him loose so he can kill again.
20657,You ripped my fucking ear! -Du con.,you ripped my ear off!
20658,He's paying your mother because she's having sex with him.,he pays your mother because he's sleeping with him.
20659,"Dwight, what the hell did you do to him?","Dwight, what in the devil did you do to him?"
20660,you're damn right.,You're right there.
20661,That's twice the horseshit you gotta shovel.,you'll have to clean twice as much manure.
20662,What the hell kind of farm breeds pigs like this?,what kind of farm can treat pigs like that?
20663,"you need the incinerator, but at least we'll get rid of our DNA.",But at least we'll get rid of our dna.
20664,"the expression he resorted to would literally translate as ""the size of the left ear lobe,"" but he was much closer to ""damned.""","The word he used could be more literally translated as 'similar in size to the left earlobe', but the meaning was much closer to 'bloody'."
20665,"there's a zeppelin heading for Paris, and he's going to bomb it.",A German zeppelin is on its way to bomb Paris.
20666,please tell me it's a hallucination caused by a ruptured rump.,Please tell me this is a hallucination driven by my bouquet of Atropa belladonna.
20667,"If I don't get some money soon, I'm going to have to do a damn reality show.","if I don't get some money quickly, I'll have to go to the television show."
20668,everyone's gonna believe you killed yourself.,Everyone would believe that you killed yourself.
20669,Fawcett loved fashion and hated fat farts.,Fawcett loved fads and hated fatties.
20670,"In my personal experience, the closest I've come to getting it is through mass amounts of hate sex.",the closest I could come to achieving it is through mass amounts of hatred.
20671,They burned his body on a giant pyre then scattered his ashes over Cabrini Green.,they burned him on the big line and scattered his ashes after Cabrini Green.
20672,You know how much crap is washing up to my door?,do you know how much dirt I have in my front door?
20673,I only learn about white men I'll never run off and I'm not going back home.,Only by learning about the white man could I ever escape and find a way back home.
20674,"tomorrow, he will find out the price of his foolish folly.",Tomorrow they will learn the cost of their terrible folly their treason.
20675,I hate pirates!,"Aww, I hate pirates!"
20676,So fucking sad.,I'm really unhappy.
20677,Fuck no.,hell no.
20678,we have to destroy him and close the door.,We have to destroy it and then close the door.
20679,evil witch's henchmen.,The Wicked Witch's minions.
20680,I want Frankie Diamonds and anyone else responsible for killing my wife... ...and I give you the rat at your table.,"I want Frankie Diamondys and all the men responsible for my wife's death, and I'll give you a snitch at your desk."
20681,It is time to sever them once and for all.,it's time to cross them once and for all.
20682,being the first to kill is meant to be with the hosts.,To be first at the kill means a feast.
20683,I can't kick her. She's pregnant.,"I can't kick her out, she's pregnant."
20684,"My brothers are coming, and together we'll take a wrecking ball to your whole rotten operation.",my brothers will come together and thwart your entire operation.
20685,bullshit?,Hooey?
20686,"if I die before you return, I want you to know I'm not afraid.","If I'm gone by the time you get back, I just wanted you to know I'm not scared."
20687,"lets them all in together, like a Roman orgy.","Mr. Tate...... crosses them together, like a Roman orgy."
20688,"""Hit Jinx with your cell.""","""call Jinx from mobile."""
20689,the killer is dead.,The killer died at my home.
20690,And the face is familiar to you... out of the hundreds of pigs running loose in this province?,and the face is well known among the hundreds of pigs running free in this area?
20691,can you kill a guard or leave your baby at the gas station?,Can you kill a guard? Leave your kid at a gas station?
20692,"What the hell, Boyd?","what's going on, Boyd?"
20693,it's more like a loaded gun to your head.,Think of it as a loaded gun pointed at your head.
20694,"'Canny fighters, though.'","""but they're cunning fighters."""
20695,What the hell was I supposed to do?,what am I supposed to do?
20696,You look... terrible.,you look beautiful.
20697,"hello, pussycat.","Bye, sweetheart."
20698,"Damn, man. Now I'm all alone again.","dude, now I'm on my own."
20699,"of all the leopards in Africa, they must be the most inventive.","Of all the leopards in Africa, these have to be the most resourceful."
20700,"they took her feet, replaced her bangers, then lifted her up so she could brush her teeth and wash her mouth with infant urine.","They bathed her feet and changed her bandages, then propped her while she brushed her teeth and rinsed her mouth out with baby urine."
20701,to risk another ship just to bring more treasure to those fools?,Risk a ship to deliver more treasure to these maggots?
20702,your puss is in the kitchen.,Your Puffa's in the kitchen.
20703,"No, I'll bury my jewels at Lady Beatrice's and save them for my bastards.","I won't touch the jewels, I'll bury them at Mrs. Beatrice's."
20704,a crossbow bolt shot over their heads.,A crossbow quarrel sang over their heads.
20705,can we lose this when we slowly crush his skull?,Can we lose this thing about the slow crushing of his skull?
20706,"Hi fellas, I'm ready to fuck.","hello, my friends. I'm ready to have a good time."
20707,"Hello, yeah, 'cause you make me crazy.","yeah, I'm just crazy about you."
20708,fuck your whole family!,Makes your family healthy!
20709,"even five minutes ago, they just wiped my butt out because we were first on big... [laughs for each other]","And even down to a few minutes ago, just wiping my bum, because I had my first-- first poop..."
20710,what if a gay fairy brought her here?,What if a Warm Fairy brought it here?
20711,fuck it!,Screw this!
20712,"Get out of my car, you smelly pig.","get out of my car, stinky!"
20713,I ain't losing to some lunatic.,I'm not gonna lose for some crazy.
20714,"""watch your tongue, wizard,"" the captain warned.","'Watch your tone, Mage,' the captain calmly warned."
20715,"forgive my ignorance, but don't you need to bring big riding shit to power?","Forgive my ignorance, but don't you need to hook up... ...the Big Rolling Turdto the electricity for that?"
20716,it tried to kill me.,that thing tried to kill me!
20717,"We kick her onto the street, it could happen again.","if we dig her out on the street, it can happen again."
20718,What the hell is that sound?,what the hell kind of sound is that?
20719,death is the only way out.,That death was the only escape.
20720,"You wanted the freak to show your doctor chums, make a name for yourself.",you wanted the monster to show it to your colleagues and make a name.
20721,what the hell is this?,What is all this?
20722,Men are the ones who create evil on Earth.,only mankind itself was born evil on earth.
20723,"someone will kill her, just as it happened in Joseon.","Just like before, someone will try to murder her again, just like they did in Joseon."
20724,you think I'm gonna die a virgin?,You thinkl wanna die a spinster?
20725,"Man, this place is crawling with hot chicks and we're just sitting here like our balls are stuck together.","man, today there's cats like butter, and we sit around here, as if the balls come to each other."
20726,bitch. -... that the dog is for sale,I do hope... - Slut. ... that doggie's for sale
20727,"'Now pull, goddammit,' Huddie growled at Arky and Eddie and Steff Colucci.","'now get the hell out of here, 'Huddie snapped at Arky and Steff Colucci."
20728,"""Bella, I can't stand for you to be miserable.","""Bella, I can't stand you to be desperate."
20729,I'm tired of monkeys.,I've got enough monkeys.
20730,You should get gunned down more often.,you should get fired more often.
20731,who says lefties can't be bloody beautiful?,Who says left-wingers can't be drop-dead gorgeous?
20732,"put him on the ground... take this, finish him...","Stretch him down... take this, break him up..."
20733,"Well, at least there will be one less black man in the world won't there?","at least there will be one black man in the world, right?"
20734,do you know what a hooker and catcher are in baseball?,You know how in baseball there's a pitcher and a catcher?
20735,But no-one could tell a goddamn thing.,but no one knew anything.
20736,"God, that's ridiculous. I feel like a long time ago.","Gosh, that's so funny, I feel like that was forever ago."
20737,"Sy,are you fuckin' kiddin' me?","Sy, are you kidding me?"
20738,"when Harry entered, it was fucked in the hall, and then everyone, as in command, began to speak out.","When Harry walked in there was a sudden hush, and then everybody started talking loudly at once."
20739,"Arabic is written from the right, but it doesn't mean we write backwards, dammit.","Arabic is written from the right, but that doesn't mean writing backwards."
20740,so don't tell me you're not doing something disgusting.,Don't you tell me you don't have something freaky going on up in there.
20741,where'd you get these pseudo-philosophical bullshit?,Where did you get that pseudo-philosophical platitude?
20742,and why don't you just fuck off on Mr. husband?,Why don't you ditch that no-good husband of yours?
20743,"if I saw him again, I wanted to get rid of him.","If I saw him again, I was going to warn him off."
20744,Then where the fuck was my egg?,where the hell do I have eggs?
20745,kick it right there.,Dig right there.
20746,"if you cut it, I'll arrest you.","If it pøerušíte, arrest you."
20747,What the fuck do I know?,what do I know?
20748,You and your miserable feudal of Pulha.,you and your fly in the end of Pulha.
20749,A son Shit He doesn't have my blood in him,he doesn't have my blood.
20750,"If you had to have sex with Tobias in four months, you'd be shopping for a way out too.","I think if you were to have sex with Tobias for up to four months, you'd be looking for a different option."
20751,"so Finn was right, it was about being stabbed.",So Finn was right-- this was a stabbing.
20752,You give us four days... ...I'll get you a stone the size of a fucking home.,give us four days...... and we'll get you a rock like a house.
20753,"When the magog attack the trl-galaxies, it will be bloody.","when the magogues invade the Three Galaxies, the bloody battle will begin."
20754,he'll hit Klaus in the face.,He strikes Klaus in the face.
20755,"Get the fuck off him, now! Just get off him!","leave him alone, you hear!"
20756,"""now you're like a real black cat!""",'You're a lucky black cat now!'
20757,sex is not an orgasm.,The purpose of sex isn't an orgasm.
20758,the perfume he's limping in is pretty manure.,And that perfume she wallows in is muck.
20759,And I don't want to have to worry about you all fuckin' night.,and I don't want to worry about you all night.
20760,It stinks to high heaven.,it smells all the way to the sky.
20761,Psycho.,freak.
20762,"Yes. Grandmother taught us to suck them, yes!","grandma taught us how to raise them, yes."
20763,God Damn it.,bloody hell.
20764,You never ate my pussy.,you never ate me.
20765,"you know, one thing is to pretend to be a shrink and fuck your patients.","You know, it's one thing to pretend to be a shrink and bang your patients."
20766,"You're a mess, Mr. Warren.","you look terrible, Mr. Warren."
20767,you have an empty garbage can and your wife is pregnant.,Your garbage cans are empty and your dog's pregnant.
20768,you're not just a corporate idiot.,You're not just some corporate douche bag.
20769,Let me shoot!,let me go!
20770,that pervert clearly has an alibi for last night.,Apparently this gerbil has an alibi for last night.
20771,"still, this tin head?","However, this tin head?"
20772,You are just incapable of trust.,you're not capable of trusting anyone.
20773,we can be shot. They can take us to the army.,They can even conscript us!
20774,Why don't you pick on someone your own size? You big bad boy!,why don't you pick on someone your own size?
20775,"But if it's just gone, the fuck's he gonna say?","but if it's just gone, what can he say?"
